dataset,state,year,number_of_rows,column,noise_type,proportion
decennial_census,NE,2030,2117013,age,copy_from_household_member,0.6758739790450035
decennial_census,NE,2040,2162576,age,copy_from_household_member,0.6093959241201234
decennial_census,NH,2020,1424514,age,copy_from_household_member,0.8291480462810474
decennial_census,NH,2030,1495855,age,copy_from_household_member,0.6967119139221382
decennial_census,NH,2040,1508398,age,copy_from_household_member,0.6320725697064038
decennial_census,NJ,2020,9538383,age,copy_from_household_member,0.8387294785709486
decennial_census,NJ,2030,10432479,age,copy_from_household_member,0.7029548777428644
decennial_census,NJ,2040,10773825,age,copy_from_household_member,0.636521848090163
decennial_census,NM,2020,2157268,age,copy_from_household_member,0.8119107129943984
decennial_census,NM,2030,2461686,age,copy_from_household_member,0.6995481958300125
decennial_census,NM,2040,2560819,age,copy_from_household_member,0.6443477653047717
decennial_census,NV,2020,3021759,age,copy_from_household_member,0.8432297214966514
decennial_census,NV,2030,2827176,age,copy_from_household_member,0.7181013845618384
decennial_census,NV,2040,2747791,age,copy_from_household_member,0.6537578731424625
decennial_census,NY,2020,20447573,age,copy_from_household_member,0.8260146081884633
decennial_census,NY,2030,21354684,age,copy_from_household_member,0.7019255822282362
decennial_census,NY,2040,21660632,age,copy_from_household_member,0.6380962937738843
decennial_census,OH,2020,12372405,age,copy_from_household_member,0.8126622107827863
decennial_census,OH,2030,13254813,age,copy_from_household_member,0.6914234851898703
decennial_census,OH,2040,13612896,age,copy_from_household_member,0.6324441176954558
decennial_census,OK,2020,3964574,age,copy_from_household_member,0.8320028835380547
decennial_census,OK,2030,3991128,age,copy_from_household_member,0.7074744282819293
decennial_census,OK,2040,4030995,age,copy_from_household_member,0.6493247944986288
decennial_census,OR,2020,4362653,age,copy_from_household_member,0.8349657880193543
decennial_census,OR,2030,4491615,age,copy_from_household_member,0.7095581433404243
decennial_census,OR,2040,4521584,age,copy_from_household_member,0.6489672645692306
decennial_census,PA,2020,13523806,age,copy_from_household_member,0.8117930706784762
